utterance_id,subject,azimuth1,azimuth2,elevation1,elevation2,elevation_index1,elevation_index2
40jc0211_1.1834_40oo030h_-1.1834.wav,subject17,-40,40,-39,225,1,48
018c020h_1.5561_40na010t_-1.5561.wav,subject40,35,-15,219,45,47,16
014a0109_2.1518_021c021f_-2.1518.wav,subject17,20,-65,180,208,40,45
405c0207_1.899_01io030a_-1.899.wav,subject12,-10,20,56,124,18,30
01vo0319_0.58322_01uo030x_-0.58322.wav,subject158,45,10,56,208,18,45
023c0207_1.9739_01fc020v_-1.9739.wav,subject12,-20,10,146,45,34,16
01ko0306_0.77372_026a0103_-0.77372.wav,subject165,-45,-15,191,17,42,11
020o030v_0.17709_40do031d_-0.17709.wav,subject147,45,40,169,163,38,37
01xc0217_0.11323_20oo010r_-0.11323.wav,subject40,5,55,124,17,30,11
20kc010c_0.55035_40mo030k_-0.55035.wav,subject40,-20,5,68,6,20,9
020o030x_0.22644_409o030h_-0.22644.wav,subject03,-10,-25,129,62,31,19
01gc0204_0.72029_01ba010e_-0.72029.wav,subject03,45,80,-23,214,4,46
40ba010k_1.1953_01dc020b_-1.1953.wav,subject165,20,0,101,197,26,43
40lo030f_1.7517_20ko0105_-1.7517.wav,subject147,35,40,-6,174,7,39
206o0109_1.5845_020o030u_-1.5845.wav,subject12,-55,10,118,68,29,20
013o0304_0.67146_20bo010r_-0.67146.wav,subject126,-5,-10,84,107,23,27
01mc020u_0.23258_40jc020l_-0.23258.wav,subject158,35,-10,17,174,11,39
20uo010r_1.7957_02cc020q_-1.7957.wav,subject158,55,-25,6,-23,9,4
20ao010h_1.4187_20ic0106_-1.4187.wav,subject165,-10,30,-39,6,1,9
40ka0105_0.59774_40jo031f_-0.59774.wav,subject147,-10,-25,-6,203,7,44
021c020n_1.3368_01do0306_-1.3368.wav,subject147,-15,-40,225,34,48,14
40oo030h_0.26031_209a010r_-0.26031.wav,subject17,20,65,17,-45,11,0
017c021g_2.0896_40ia0110_-2.0896.wav,subject158,20,30,34,197,14,43
017c020t_2.2646_206a010i_-2.2646.wav,subject147,-25,25,84,96,23,25
40oc0205_1.2124_20oo010h_-1.2124.wav,subject17,-25,10,124,163,30,37
01ta010i_2.2191_407o0314_-2.2191.wav,subject147,-55,30,34,118,14,29
20sc010a_0.16195_01gc0216_-0.16195.wav,subject17,30,55,39,79,15,22
019a010s_1.9942_01bo030k_-1.9942.wav,subject155,15,65,208,0,45,8
208c010a_1.2416_20bo0106_-1.2416.wav,subject126,10,35,163,0,37,8
01vc020z_1.0919_029c020w_-1.0919.wav,subject17,25,-20,-23,214,4,46
016o030s_1.3998_40ho030u_-1.3998.wav,subject147,25,-35,169,-45,38,0
02ba010q_0.063194_40kc020f_-0.063194.wav,subject126,-30,20,96,174,25,39
40pc020p_1.5315_01na0114_-1.5315.wav,subject40,-65,20,79,-17,22,5
20va010f_0.086183_02ca0113_-0.086183.wav,subject40,-30,55,101,124,26,30
407o0314_2.3027_404c020b_-2.3027.wav,subject12,-20,20,79,-23,22,4
20ia0102_1.8662_40ea010l_-1.8662.wav,subject158,45,-25,152,107,35,27
01fo0301_1.7503_20ma0104_-1.7503.wav,subject165,15,-5,107,113,27,28
01ma0101_2.0767_20ha0109_-2.0767.wav,subject126,35,-20,68,214,20,46
029c021f_2.3951_40oo0311_-2.3951.wav,subject12,40,-15,34,107,14,27
40mc020f_1.7798_02ac020h_-1.7798.wav,subject12,80,40,68,-45,20,0
014c0208_1.0445_20ba010m_-1.0445.wav,subject40,-65,45,62,51,19,17
011c0212_0.7385_40oo0312_-0.7385.wav,subject158,65,-25,-17,84,5,23
40do030v_1.6276_40la010k_-1.6276.wav,subject40,55,45,101,6,26,9
024o030f_1.1807_40ac0207_-1.1807.wav,subject12,-20,10,101,73,26,21
027o030j_0.41143_01mc021e_-0.41143.wav,subject40,45,-15,34,129,14,31
40no0315_1.0444_204o010q_-1.0444.wav,subject165,45,-35,23,118,12,29
01eo030k_0.34771_40lo0310_-0.34771.wav,subject03,30,-20,203,73,44,21
01ro030b_0.66219_02ao0307_-0.66219.wav,subject126,35,-30,-39,51,1,17
20fo010i_0.034213_20lc0109_-0.034213.wav,subject165,65,-65,90,0,24,8
012o030h_0.69395_20lc0107_-0.69395.wav,subject158,-80,80,107,-23,27,4
40lc020a_2.4583_40kc020n_-2.4583.wav,subject03,0,5,68,39,20,15
021o0308_0.73355_01na010c_-0.73355.wav,subject158,35,-20,113,90,28,24
20to0102_1.06_20pa010j_-1.06.wav,subject03,-55,-45,107,180,27,40
204o010h_1.4296_40ea0107_-1.4296.wav,subject147,45,5,90,219,24,47
02ca010k_1.0119_207c010m_-1.0119.wav,subject147,-80,-5,6,214,9,46
401a010g_1.7602_20ro010p_-1.7602.wav,subject147,-80,30,79,113,22,28
20co010m_0.35047_20kc0105_-0.35047.wav,subject155,5,25,141,0,33,8
018c020j_1.8243_01wo0319_-1.8243.wav,subject40,-10,-80,6,191,9,42
40lo031f_0.68586_403a0111_-0.68586.wav,subject158,-30,40,-17,0,5,8
01so030z_0.6047_20oa010y_-0.6047.wav,subject158,-5,10,39,84,15,23
20ea010d_1.9065_40dc020z_-1.9065.wav,subject12,-10,55,141,158,33,36
025o0304_0.38119_20ic0106_-0.38119.wav,subject03,15,20,-45,191,0,42
021a0105_2.1798_01ca010i_-2.1798.wav,subject158,-20,-35,51,129,17,31
20mo010q_0.82191_20da010t_-0.82191.wav,subject158,-80,-25,135,-11,32,6
408o030z_1.8686_01fa010u_-1.8686.wav,subject147,-55,0,-39,174,1,39
20gc0102_0.21573_01ko0315_-0.21573.wav,subject165,-55,45,231,39,49,15
20ga010m_0.14161_204o0104_-0.14161.wav,subject158,80,35,23,186,12,41
40ga010q_1.9772_01xa010w_-1.9772.wav,subject03,-40,65,0,23,8,12
02dc0202_0.065474_012c020z_-0.065474.wav,subject12,10,0,174,107,39,27
20ca0112_0.92581_01fo0314_-0.92581.wav,subject147,30,-35,135,0,32,8
207o010g_1.1414_016o0309_-1.1414.wav,subject40,-15,-80,186,79,41,22
017o0314_1.5849_01bo030k_-1.5849.wav,subject126,80,-25,-39,-11,1,6
20ga010d_1.6583_20la0113_-1.6583.wav,subject147,-15,35,23,-11,12,6
40bo030o_2.0693_01tc020a_-2.0693.wav,subject40,-25,65,180,174,40,39
01xc020n_1.4704_01pa010f_-1.4704.wav,subject147,-15,-10,158,62,36,19
20oc0101_0.70217_012c0207_-0.70217.wav,subject155,15,25,158,101,36,26
019o030n_1.6943_028o030a_-1.6943.wav,subject03,-55,10,90,-23,24,4
01bo0312_0.69459_408a010m_-0.69459.wav,subject40,40,-80,135,11,32,10
20ka010l_0.16412_405c021e_-0.16412.wav,subject126,65,-80,90,51,24,17
40ec020r_1.5601_01yo0302_-1.5601.wav,subject126,-55,-5,79,6,22,9
20oc0102_2.171_024c0212_-2.171.wav,subject147,-5,65,214,191,46,42
40hc0214_0.28715_20co0102_-0.28715.wav,subject158,-20,40,84,62,23,19
01xc020o_2.4081_01aa010d_-2.4081.wav,subject12,80,0,-17,158,5,36
01lo030h_1.1394_02do0308_-1.1394.wav,subject158,-5,25,39,124,15,30
20ta0109_1.3824_20ho0104_-1.3824.wav,subject155,30,-15,39,-23,15,4
029a0111_0.18291_40go030x_-0.18291.wav,subject155,10,20,73,51,21,17
013o030j_2.0826_40ma0109_-2.0826.wav,subject126,-80,20,141,-28,33,3
20tc0108_1.3947_018c020h_-1.3947.wav,subject165,-25,-20,68,17,20,11
20oa010y_1.3682_204c010k_-1.3682.wav,subject126,35,15,-17,158,5,36
029o030o_1.2526_01so030z_-1.2526.wav,subject165,80,-80,17,11,11,10
020a010i_0.92609_021c020s_-0.92609.wav,subject158,80,5,6,101,9,26
020o030x_1.5063_01rc0213_-1.5063.wav,subject155,15,80,197,135,43,32
013a010n_1.1129_01ja010s_-1.1129.wav,subject40,10,5,62,197,19,43
01cc0218_2.4961_014c0208_-2.4961.wav,subject165,35,-65,-28,-39,3,1
20nc010i_2.4365_40pa0101_-2.4365.wav,subject17,15,-20,225,197,48,43
20io010d_1.229_20va010s_-1.229.wav,subject147,-10,-15,197,-34,43,2
40ao030r_0.36454_40ja010n_-0.36454.wav,subject126,-5,30,191,225,42,48
40oo0314_1.9966_01oc0216_-1.9966.wav,subject155,-20,45,158,219,36,47
40dc021g_1.4118_01xa010v_-1.4118.wav,subject40,-35,-10,73,39,21,15
20ta010z_0.18153_40lc020z_-0.18153.wav,subject12,-30,-35,34,203,14,44
40no030k_1.4844_01jc020z_-1.4844.wav,subject03,30,-80,174,-28,39,3
018c020j_1.0105_01wo030q_-1.0105.wav,subject147,-45,-30,-39,79,1,22
01sa0106_1.8533_01cc020f_-1.8533.wav,subject12,-55,-35,-17,68,5,20
40aa0111_1.0238_40nc020b_-1.0238.wav,subject03,40,-10,45,186,16,41
20ca0112_0.58251_01ec020t_-0.58251.wav,subject155,-5,-45,-23,107,4,27
409a010e_1.5147_209a010s_-1.5147.wav,subject40,20,-40,118,129,29,31
40po030u_1.8502_40hc0205_-1.8502.wav,subject40,-5,-25,186,208,41,45
01uo030c_0.4932_20pa010g_-0.4932.wav,subject155,-65,10,-23,191,4,42
409a010o_1.8185_01uc0202_-1.8185.wav,subject03,-65,20,231,-11,49,6
40ac0214_2.4098_20fa010i_-2.4098.wav,subject40,-5,20,23,231,12,49
01nc020j_0.70921_013c0208_-0.70921.wav,subject40,-65,20,169,17,38,11
02ac020z_1.3443_40ia010l_-1.3443.wav,subject03,80,-5,62,-6,19,7
027c0216_1.886_40gc0206_-1.886.wav,subject165,-80,5,203,231,44,49
40do030k_1.1622_404c021a_-1.1622.wav,subject126,80,10,56,62,18,19
206a010y_0.26238_20ic010n_-0.26238.wav,subject165,-25,-30,68,158,20,36
01yo0311_2.4017_205c010c_-2.4017.wav,subject03,-15,10,0,-28,8,3
01gc020v_0.61971_20aa010f_-0.61971.wav,subject126,-45,65,-39,45,1,16
406c020c_1.0653_40dc020g_-1.0653.wav,subject03,-65,-40,180,174,40,39
01nc020e_0.2683_208a010p_-0.2683.wav,subject03,45,0,169,-17,38,5
029a0111_0.64394_024c0212_-0.64394.wav,subject40,0,-25,-39,96,1,25
01eo031e_2.1243_01qo030t_-2.1243.wav,subject12,30,20,180,6,40,9
01ia010t_1.0445_20uo0107_-1.0445.wav,subject03,30,-15,79,135,22,32
40po030n_0.076222_028c020n_-0.076222.wav,subject17,25,-55,197,152,43,35
20go0105_1.0614_40ec020h_-1.0614.wav,subject126,-30,-25,-11,28,6,13
40bc0206_1.1612_023c021d_-1.1612.wav,subject12,35,-30,146,219,34,47
01ra010u_2.0869_028o030m_-2.0869.wav,subject158,-10,-25,0,118,8,29
40lo030r_0.9962_018o030q_-0.9962.wav,subject155,15,30,68,180,20,40
02ao0313_2.086_207o010p_-2.086.wav,subject155,40,-15,203,231,44,49
014o030p_2.1229_02eo0316_-2.1229.wav,subject126,40,-35,-34,163,2,37
01ca0108_0.36375_01uc020s_-0.36375.wav,subject165,-55,0,214,135,46,32
022o030t_1.4532_40eo030c_-1.4532.wav,subject147,-65,25,62,208,19,45
01sa0102_0.29075_20ra010b_-0.29075.wav,subject147,25,15,45,219,16,47
401a0105_0.22769_40cc0219_-0.22769.wav,subject12,0,15,141,158,33,36
01yc0211_0.22505_20mc010a_-0.22505.wav,subject158,65,-65,219,-11,47,6
40po030g_1.2589_20lo0109_-1.2589.wav,subject17,-40,30,6,158,9,36
011o031b_1.8_206a010u_-1.8.wav,subject165,0,-35,68,28,20,13
02cc020m_2.3106_01yo030j_-2.3106.wav,subject17,-30,5,56,23,18,12
20lc0106_0.20075_40ia0113_-0.20075.wav,subject03,0,-25,129,135,31,32
40oo031b_0.27928_40no030n_-0.27928.wav,subject147,15,-20,-23,6,4,9
40no0302_0.68756_207a0108_-0.68756.wav,subject17,-25,-5,6,124,9,30
40lo0319_1.3349_401a010y_-1.3349.wav,subject40,20,-20,101,39,26,15
20va010j_1.2793_01rc020a_-1.2793.wav,subject12,40,45,191,107,42,27
01gc020d_1.9686_012a010k_-1.9686.wav,subject03,-55,30,56,34,18,14
409c0213_1.377_405o0305_-1.377.wav,subject17,-30,10,39,219,15,47
016o030l_0.73357_40fo030r_-0.73357.wav,subject12,-5,45,186,225,41,48
01pc0219_0.94465_01wa010m_-0.94465.wav,subject165,40,35,79,62,22,19
01ca010a_0.61815_205a010d_-0.61815.wav,subject12,-65,-45,129,79,31,22
20ra010q_1.2823_40mc020r_-1.2823.wav,subject40,-5,-30,-45,-11,0,6
014a0109_0.6061_01aa010p_-0.6061.wav,subject12,-55,-45,214,23,46,12
020a0111_2.3064_20na010y_-2.3064.wav,subject147,-30,80,17,118,11,29
20fa010b_1.8865_020c020q_-1.8865.wav,subject17,10,45,73,118,21,29
20ac010l_2.1067_20fc010a_-2.1067.wav,subject40,65,30,0,-23,8,4
013o030j_1.6487_20qc010p_-1.6487.wav,subject158,45,80,84,118,23,29
02cc0219_0.33191_40go030q_-0.33191.wav,subject158,10,-5,186,203,41,44
028o030a_2.0585_204a010k_-2.0585.wav,subject158,-65,30,-45,152,0,35
024a010v_1.8625_20qc010o_-1.8625.wav,subject147,-45,-35,231,62,49,19
40mc020r_2.2314_019c020o_-2.2314.wav,subject126,-80,15,39,0,15,8
404c020j_1.6643_40fa0105_-1.6643.wav,subject158,10,-80,11,135,10,32
40eo0318_0.36021_20ca0113_-0.36021.wav,subject147,-30,35,180,174,40,39
01to0304_0.15338_404o030j_-0.15338.wav,subject40,-45,-25,191,-17,42,5
02do0310_2.2654_017c021g_-2.2654.wav,subject165,15,-5,68,174,20,39
01ko0318_0.37673_016c020h_-0.37673.wav,subject155,65,-5,197,124,43,30
01na0114_2.1361_02cc0204_-2.1361.wav,subject158,5,0,203,0,44,8
017a0102_1.3544_40ea010j_-1.3544.wav,subject12,30,-30,180,-17,40,5
01ac021f_0.96674_40jo031f_-0.96674.wav,subject165,-5,65,-39,191,1,42
401c0219_1.7923_20nc0102_-1.7923.wav,subject12,0,45,231,-39,49,1
02ea010c_0.47029_01ko031a_-0.47029.wav,subject40,-35,5,-28,0,3,8
40dc020g_1.8374_407a0105_-1.8374.wav,subject40,20,-65,62,214,19,46
02dc0201_1.3696_01lc0208_-1.3696.wav,subject12,5,55,118,231,29,49
01la010e_0.75902_20ro010r_-0.75902.wav,subject40,-30,65,191,28,42,13
408a010j_0.99253_40fc020u_-0.99253.wav,subject147,5,-65,-23,-39,4,1
207a010l_1.9884_20nc0103_-1.9884.wav,subject17,20,-35,174,-39,39,1
401o030n_0.62532_01lc020x_-0.62532.wav,subject12,-15,-35,62,191,19,42
20qc010o_2.2111_01fa010c_-2.2111.wav,subject12,-5,40,84,34,23,14
01uo0309_2.3674_018a010z_-2.3674.wav,subject147,-5,5,0,101,8,26
01jc021e_2.4569_40dc020z_-2.4569.wav,subject155,-40,-80,186,135,41,32
409o030j_0.66766_20qc010a_-0.66766.wav,subject126,5,-5,39,28,15,13
20jc010k_2.1177_20ta0107_-2.1177.wav,subject155,-65,-10,231,107,49,27
01lo030k_1.3976_20tc0102_-1.3976.wav,subject155,65,-80,-23,169,4,38
01wo0304_1.1489_40ea010t_-1.1489.wav,subject126,25,20,11,45,10,16
01ao0314_1.7893_01wo0310_-1.7893.wav,subject12,-55,15,79,6,22,9
016c021c_1.1842_20qc010m_-1.1842.wav,subject03,30,-10,231,-23,49,4
20oa0103_0.74169_01so030b_-0.74169.wav,subject158,-30,-80,152,191,35,42
207o0107_0.37715_20po010k_-0.37715.wav,subject126,45,40,101,56,26,18
20kc010i_0.35712_01lc020g_-0.35712.wav,subject12,15,35,-23,0,4,8
40no030i_0.75782_013o0310_-0.75782.wav,subject17,55,-20,158,-17,36,5
026c020u_1.6025_021o0303_-1.6025.wav,subject147,5,0,163,-28,37,3
019c0204_1.8348_40bc0203_-1.8348.wav,subject03,55,35,163,-17,37,5
02aa010l_0.72989_01ro030q_-0.72989.wav,subject147,-20,25,107,180,27,40
01ka010h_1.4935_01jc020a_-1.4935.wav,subject03,-30,-40,23,124,12,30
01po030j_2.0045_02ao0307_-2.0045.wav,subject158,-5,-80,152,113,35,28
20so0102_0.82976_02cc0209_-0.82976.wav,subject40,-65,15,0,107,8,27
01uo030n_0.22305_205c0106_-0.22305.wav,subject12,55,-80,39,146,15,34
406o030w_2.1621_01xo030u_-2.1621.wav,subject155,-80,-55,68,-45,20,0
01mc0213_1.8063_02ec0203_-1.8063.wav,subject40,80,30,68,-45,20,0
01cc0218_0.96821_02eo030b_-0.96821.wav,subject165,35,55,79,39,22,15
40fa0106_0.15164_40ac0205_-0.15164.wav,subject17,-15,-55,28,163,13,37
01nc020b_1.123_028o030k_-1.123.wav,subject147,40,-55,186,11,41,10
02da010a_1.4737_20qo010i_-1.4737.wav,subject40,-80,-5,180,11,40,10
20co0106_0.45473_209c010o_-0.45473.wav,subject147,-10,55,118,163,29,37
40ao0301_1.5791_01gc020n_-1.5791.wav,subject155,40,-55,191,169,42,38
40cc020o_1.5423_40dc020e_-1.5423.wav,subject40,0,55,34,124,14,30
401o030d_2.4158_01xo0301_-2.4158.wav,subject165,0,15,225,-34,48,2
405c0203_1.8812_01ua0101_-1.8812.wav,subject165,55,45,219,191,47,42
026c020g_1.4105_20ha010p_-1.4105.wav,subject40,40,30,158,124,36,30
20hc010q_0.1958_01lc020c_-0.1958.wav,subject147,5,65,-39,84,1,23
40no0310_1.1178_011c020h_-1.1178.wav,subject147,-35,-15,186,113,41,28
20jc010d_0.51353_20aa0114_-0.51353.wav,subject155,-35,-40,169,113,38,28
40ga010p_0.56386_013c0204_-0.56386.wav,subject155,65,30,-6,113,7,28
01vc0218_1.5416_01tc0209_-1.5416.wav,subject158,-40,-10,56,214,18,46
20va010k_1.909_407c0217_-1.909.wav,subject165,40,65,107,197,27,43
01jo0301_2.0913_021o0314_-2.0913.wav,subject40,55,-5,-39,231,1,49
02ec0203_1.6002_01oa0109_-1.6002.wav,subject17,-15,-5,-28,219,3,47
40mo030l_2.047_017c0201_-2.047.wav,subject155,80,-20,68,225,20,48
206o010d_1.4538_01cc020h_-1.4538.wav,subject155,-40,40,51,203,17,44
014a010t_0.46884_023c020n_-0.46884.wav,subject126,-25,-40,73,79,21,22
02do030k_0.85871_20ac010l_-0.85871.wav,subject147,-55,30,-39,152,1,35
